id,group,time,strength
1,1,1,142.9
1,1,2,139.5
2,1,1,243.3
2,1,2,263.3
3,1,1,212.1
3,1,2,203.9
4,1,1,276.4
4,1,2,327.4
5,1,1,220.7
5,1,2,211.9
6,1,1,328
6,1,2,364.7
7,1,1,278.1
7,1,2,330.9
8,1,1,377.8
8,1,2,417.2
9,1,1,273.6
9,1,2,260.3
10,1,1,222.2
10,1,2,257.9
11,2,1,275.6
11,2,2,293.2
12,2,1,239.9
12,2,2,237.7
13,2,1,205.1
13,2,2,221.2
14,2,1,309.2
14,2,2,279.5
15,2,1,196.9
15,2,2,200.2
16,2,1,165.5
16,2,2,155.4
17,2,1,115.9
17,2,2,105.1
18,2,1,222
18,2,2,214.5
19,2,1,283.9
19,2,2,257.5
20,2,1,197.2
20,2,2,205.4
21,1,1,184.4
21,1,2,195.2
22,1,1,244.4
22,1,2,258
23,1,1,309
23,1,2,352.3
24,1,1,238.8
24,1,2,234.1
25,1,1,300.7
25,1,2,336.4
26,1,1,216.6
26,1,2,249.7
27,1,1,210.9
27,1,2,201.4
28,1,1,210.9
28,1,2,226.2
29,1,1,233.6
29,1,2,257.4
30,1,1,235
30,1,2,230.6
31,2,1,323.7
31,2,2,347.2
32,2,1,321.3
32,2,2,319.8
33,2,1,324.8
33,2,2,314.4
34,2,1,255.6
34,2,2,268.6
35,2,1,223.8
35,2,2,230.2
36,2,1,310.8
36,2,2,302.9
37,2,1,226.2
37,2,2,243
38,2,1,218.6
38,2,2,195.3
39,2,1,260.9
39,2,2,264.7
40,2,1,308.8
40,2,2,290.5
