Date,sum_Total Distance,sum_High Speed Running,sum_Sprint Distance,GameResult
6/4/2023,120466.42,7269.59,2180.58,Draw
4/28/2024,114611.91,7148.61,1888.63,Draw
5/20/2024,121458.2,7795.56,2057.88,Draw
9/25/2023,122711.08,7071.03,2320.88,Draw
9/11/2022,120372.71,6728.54,2464.58,Draw
10/20/2024,118259.27,7562.33,2170.79,Draw
11/26/2023,119617.16,6791.01,2146.62,Draw
10/16/2022,112325.33,5744.31,2101.94,Draw
11/10/2024,118915.64,7367.43,2097.23,Draw
9/16/2023,116009.12,6429.68,2010.4,Draw
12/3/2023,118097.55,6708.54,1972.53,Draw
9/16/2024,122754.85,7122.12,1928.1,Draw
9/3/2023,121995.82,6262.21,1912.66,Draw
8/11/2024,113808.69,6015.47,1905.13,Draw
3/17/2024,116462.76,7251.07,1899.18,Draw
10/1/2023,120670.89,6595.28,1885.06,Draw
5/14/2023,120991.03,7389.7,1876.78,Draw
3/12/2023,117100.32,6365.57,1860.16,Draw
8/14/2022,115976.6,5757.4,1728.02,Draw
5/26/2024,121085.8,6401.78,1726.86,Draw
7/27/2024,115582.85,6082.54,1717.51,Draw
2/19/2023,114172.15,6382.46,1635.59,Draw
11/7/2022,117550.89,6327.31,1631.72,Draw
10/8/2022,116900.14,6343.79,1588.08,Draw
4/17/2023,113779.49,5932.97,1577.69,Draw
10/8/2023,122842.25,7788.23,2515.87,Lost
5/15/2024,120906.88,7135.17,2490.75,Lost
3/5/2023,121933.7,7820.09,2287.13,Lost
5/29/2023,122040.19,7597.15,2259.18,Lost
2/26/2024,120493.65,7136.63,2156.01,Lost
12/2/2024,117744.56,6830.56,2122.12,Lost
4/30/2023,124411.35,8135.47,2110.1,Lost
10/29/2023,125063.64,7198.56,2020.41,Lost
8/31/2024,113450.96,6198.67,2018.62,Lost
10/28/2024,114202.04,6799.31,1978.99,Lost
8/20/2023,118998.21,6907.38,1935.93,Lost
9/20/2024,124894.88,6932.89,1870.79,Lost
4/2/2023,117615.67,7453.81,1858.8,Lost
11/12/2023,121430.69,6823.44,1853.07,Lost
8/18/2024,121028.2,6714.06,1837.05,Lost
8/21/2022,120243.24,6306.33,1716.05,Lost
9/16/2022,116237.99,5490.87,1697.52,Lost
4/23/2023,117298.41,6509.16,1694.79,Lost
8/13/2023,115590.87,5485.62,2505.06,Win
11/13/2022,121373.41,6582.07,1803.09,Win
4/10/2023,115336.37,7025.33,1932.82,Win
4/22/2024,116951.92,5792.97,1954.24,Win
8/6/2022,115280.51,6259.15,1962.88,Win
4/15/2024,122326.75,7036.2,1975.48,Win
3/8/2024,124735.01,7351.68,1978.42,Win
10/23/2022,111412.12,5397.82,2515.51,Win
10/22/2023,113242.65,6537.94,2021.39,Win
7/18/2022,116485.87,5658.16,2060.31,Win
3/19/2023,113129.71,6528.92,2137.91,Win
10/28/2022,115836.15,6041.43,2160.47,Win
9/5/2022,121732.99,6620.96,2188.06,Win
5/3/2024,113362.01,6232.33,2211.8,Win
11/5/2023,121473.52,7674.92,2216.36,Win
4/7/2024,117329.11,6595.54,2221.89,Win
11/22/2024,118512.99,7194.08,2253.43,Win
2/18/2024,115742.46,7553.64,2282.98,Win
5/8/2023,123492.6,8261.38,2306.12,Win
4/1/2024,116361.3,7323.33,2376.11,Win
7/24/2022,116081.27,6633.73,2405.28,Win
7/31/2023,125160.27,7709.35,2425.05,Win
8/27/2023,120386.53,6964.07,2447.37,Win
8/25/2024,125485.51,7408.07,2466.36,Win
5/12/2024,124875.54,7357.19,2511.82,Win
8/28/2022,125309.38,6658.24,2527.67,Win
5/22/2023,118660.46,7022.81,2558.33,Win
8/1/2022,118629.69,7565.57,2594.47,Win
11/3/2024,120766.73,7712.94,2633.63,Win
8/5/2024,117961.91,7289.81,2687.36,Win
2/24/2023,122030.3,7975.74,2710.16,Win
9/30/2024,123878.6,7684.38,2366.01,Win
7/24/2023,121447.05,7916.98,2785.24,Win
7/19/2024,122037.36,7805.56,2537.43,Win
8/6/2023,121600.89,7818.38,2455.59,Win
3/4/2024,123392.05,8020.25,2578.46,Win
10/3/2022,123926.96,8430.15,2051.82,Win
